place,query_id,base_name,modifier,query,exact_query,polarity,purpose,origin,source_category_target,query_dimension_targets,task_run_id,plan_id,place_identity_sha256,planned_iteration_round,iteration_round,iteration_mode,language,retrieval_entry,plan_binding_sha256,audit_snapshot_sha256,target_confidence,gap_target,dimension_confidence_before_round,normalized_query_intent,query_definition_sha256,plan_row_sha256
北京路历史文化街区,Q011-b8e3d1cc70006201,北京路历史文化街区,地方特色 本土文化,北京路历史文化街区 地方特色 本土文化,"""北京路历史文化街区"" 地方特色 本土文化",neutral,在地文化特征,place_or_alias,mixed,"[""在地文化特征""]",RUN-a31a13821d1641a1996c8c85ca1a2eb7,PLAN-b8e3d1cc70006201b7270b6d,49a31fc636b892d3400f722c768ad32d39498d20ef08dd1b884069eeb98c07c3,0,0,,zh,,b8e3d1cc70006201b7270b6d627d124f519c940b374bde1270dad4c3bb0fafff,,,,,"{""category"":""mixed"",""iteration_mode"":"""",""language"":""zh"",""place"":""北京路历史文化街区"",""platform"":"""",""polarity"":""neutral"",""retrieval_entry"":"""",""subject"":"""",""targets"":[""在地文化特征""],""time_range"":"""",""tokens"":[""北京路历史文化街区"",""地方特色"",""本土文化""]}",bd63065fe0d648f643b0e3e7f24aa883699d74b4b328b44a6019f6957593653a,8df97c11d8e2ff881eda429af261bbfa849c7875412543efa7d4db7243cf47e9
北京路历史文化街区,Q012-b8e3d1cc70006201,北京路历史文化街区,老字号 地方语言 饮食习俗,北京路历史文化街区 老字号 地方语言 饮食习俗,"""北京路历史文化街区"" 老字号 地方语言 饮食习俗",neutral,在地文化特征,place_or_alias,mixed,"[""在地文化特征""]",RUN-a31a13821d1641a1996c8c85ca1a2eb7,PLAN-b8e3d1cc70006201b7270b6d,49a31fc636b892d3400f722c768ad32d39498d20ef08dd1b884069eeb98c07c3,0,0,,zh,,b8e3d1cc70006201b7270b6d627d124f519c940b374bde1270dad4c3bb0fafff,,,,,"{""category"":""mixed"",""iteration_mode"":"""",""language"":""zh"",""place"":""北京路历史文化街区"",""platform"":"""",""polarity"":""neutral"",""retrieval_entry"":"""",""subject"":"""",""targets"":[""在地文化特征""],""time_range"":"""",""tokens"":[""北京路历史文化街区"",""老字号"",""地方语言"",""饮食习俗""]}",c3bb2936b564a89ed8350c6f82bfd89984777024850e62f4af8eebf33f44e96c,0eb8f6ff390be5449c34ad1d571e24352004a309dc783968433bfa44f45bf7ad
北京路历史文化街区,Q013-b8e3d1cc70006201,北京路历史文化街区,千街一面 连锁化 网红化,北京路历史文化街区 千街一面 连锁化 网红化,"""北京路历史文化街区"" 千街一面 连锁化 网红化",negative,在地文化特征负向,place_or_alias,mixed,"[""在地文化特征""]",RUN-a31a13821d1641a1996c8c85ca1a2eb7,PLAN-b8e3d1cc70006201b7270b6d,49a31fc636b892d3400f722c768ad32d39498d20ef08dd1b884069eeb98c07c3,0,0,,zh,,b8e3d1cc70006201b7270b6d627d124f519c940b374bde1270dad4c3bb0fafff,,,,,"{""category"":""mixed"",""iteration_mode"":"""",""language"":""zh"",""place"":""北京路历史文化街区"",""platform"":"""",""polarity"":""negative"",""retrieval_entry"":"""",""subject"":"""",""targets"":[""在地文化特征""],""time_range"":"""",""tokens"":[""北京路历史文化街区"",""千街一面"",""连锁化"",""网红化""]}",ef19c9502a4fb16bea4116f16e3ce1550dab173d97b1790b4ae22f689ff1d929,ea64c1c6ce84b85d51869c842eeb2805d106b6acce1e4e9556c200f61f72ff70
北京路历史文化街区,Q014-b8e3d1cc70006201,北京路历史文化街区,原住民 街坊 日常生活,北京路历史文化街区 原住民 街坊 日常生活,"""北京路历史文化街区"" 原住民 街坊 日常生活",neutral,生活文化延续,place_or_alias,mixed,"[""生活文化延续""]",RUN-a31a13821d1641a1996c8c85ca1a2eb7,PLAN-b8e3d1cc70006201b7270b6d,49a31fc636b892d3400f722c768ad32d39498d20ef08dd1b884069eeb98c07c3,0,0,,zh,,b8e3d1cc70006201b7270b6d627d124f519c940b374bde1270dad4c3bb0fafff,,,,,"{""category"":""mixed"",""iteration_mode"":"""",""language"":""zh"",""place"":""北京路历史文化街区"",""platform"":"""",""polarity"":""neutral"",""retrieval_entry"":"""",""subject"":"""",""targets"":[""生活文化延续""],""time_range"":"""",""tokens"":[""北京路历史文化街区"",""原住民"",""街坊"",""日常生活""]}",4b3a690e7d801e99103764b16755e814461fe4aece4eb38bec897edeaa173f5b,ba6e53b4c834378985837b0e2e8be2632079562b04a16a8caa5b94623559a78e
北京路历史文化街区,Q015-b8e3d1cc70006201,北京路历史文化街区,传统业态 老店 持续经营,北京路历史文化街区 传统业态 老店 持续经营,"""北京路历史文化街区"" 传统业态 老店 持续经营",neutral,生活文化延续,place_or_alias,mixed,"[""生活文化延续""]",RUN-a31a13821d1641a1996c8c85ca1a2eb7,PLAN-b8e3d1cc70006201b7270b6d,49a31fc636b892d3400f722c768ad32d39498d20ef08dd1b884069eeb98c07c3,0,0,,zh,,b8e3d1cc70006201b7270b6d627d124f519c940b374bde1270dad4c3bb0fafff,,,,,"{""category"":""mixed"",""iteration_mode"":"""",""language"":""zh"",""place"":""北京路历史文化街区"",""platform"":"""",""polarity"":""neutral"",""retrieval_entry"":"""",""subject"":"""",""targets"":[""生活文化延续""],""time_range"":"""",""tokens"":[""北京路历史文化街区"",""传统业态"",""老店"",""持续经营""]}",cdafc6eb158a8daa73def1126ef18a053ff74049d6015e2b3ecee454ca21d2f6,dd5492de18c0e73c24630f2476f00d8f7ea4962310c6cd33171ea07c998ed40f
北京路历史文化街区,Q016-b8e3d1cc70006201,北京路历史文化街区,居民流失 生活空间旅游化,北京路历史文化街区 居民流失 生活空间旅游化,"""北京路历史文化街区"" 居民流失 生活空间旅游化",negative,生活文化延续负向,place_or_alias,mixed,"[""生活文化延续""]",RUN-a31a13821d1641a1996c8c85ca1a2eb7,PLAN-b8e3d1cc70006201b7270b6d,49a31fc636b892d3400f722c768ad32d39498d20ef08dd1b884069eeb98c07c3,0,0,,zh,,b8e3d1cc70006201b7270b6d627d124f519c940b374bde1270dad4c3bb0fafff,,,,,"{""category"":""mixed"",""iteration_mode"":"""",""language"":""zh"",""place"":""北京路历史文化街区"",""platform"":"""",""polarity"":""negative"",""retrieval_entry"":"""",""subject"":"""",""targets"":[""生活文化延续""],""time_range"":"""",""tokens"":[""北京路历史文化街区"",""居民流失"",""生活空间旅游化""]}",f5394f7cf0bf358956f5174bc2faf642b158f30fb331ed1fa7cedd78cfaa334e,cf39d917ecc3790bdd3953d9357013b701fa04e2a296abb27b5b63d9f072de49
北京路历史文化街区,Q017-b8e3d1cc70006201,北京路历史文化街区,非遗 技艺 参与 体验,北京路历史文化街区 非遗 技艺 参与 体验,"""北京路历史文化街区"" 非遗 技艺 参与 体验",neutral,文化实践体验,place_or_alias,mixed,"[""文化实践体验""]",RUN-a31a13821d1641a1996c8c85ca1a2eb7,PLAN-b8e3d1cc70006201b7270b6d,49a31fc636b892d3400f722c768ad32d39498d20ef08dd1b884069eeb98c07c3,0,0,,zh,,b8e3d1cc70006201b7270b6d627d124f519c940b374bde1270dad4c3bb0fafff,,,,,"{""category"":""mixed"",""iteration_mode"":"""",""language"":""zh"",""place"":""北京路历史文化街区"",""platform"":"""",""polarity"":""neutral"",""retrieval_entry"":"""",""subject"":"""",""targets"":[""文化实践体验""],""time_range"":"""",""tokens"":[""北京路历史文化街区"",""非遗"",""技艺"",""参与"",""体验""]}",f36ef31b1077ed189437fe821ea26b31b931e7459b3205263dde1a6bd9ceca22,afe8eb7eadb78a2abed9dab0ae2c2fcf6465f49f7563d56aa7e4bc191fa6b677
北京路历史文化街区,Q018-b8e3d1cc70006201,北京路历史文化街区,节庆 民俗 居民参与,北京路历史文化街区 节庆 民俗 居民参与,"""北京路历史文化街区"" 节庆 民俗 居民参与",neutral,文化实践体验,place_or_alias,mixed,"[""文化实践体验""]",RUN-a31a13821d1641a1996c8c85ca1a2eb7,PLAN-b8e3d1cc70006201b7270b6d,49a31fc636b892d3400f722c768ad32d39498d20ef08dd1b884069eeb98c07c3,0,0,,zh,,b8e3d1cc70006201b7270b6d627d124f519c940b374bde1270dad4c3bb0fafff,,,,,"{""category"":""mixed"",""iteration_mode"":"""",""language"":""zh"",""place"":""北京路历史文化街区"",""platform"":"""",""polarity"":""neutral"",""retrieval_entry"":"""",""subject"":"""",""targets"":[""文化实践体验""],""time_range"":"""",""tokens"":[""北京路历史文化街区"",""节庆"",""民俗"",""居民参与""]}",4edba40f98c2b574397295fe443325d8281bdb5c5e4e7bf7136d264c9d0b2e7a,8246f60886dcde394a96a3cca3339c86e55be098f20aaf8e5024bbed319c1d90
北京路历史文化街区,Q019-b8e3d1cc70006201,北京路历史文化街区,文化活动 表演化 形式化,北京路历史文化街区 文化活动 表演化 形式化,"""北京路历史文化街区"" 文化活动 表演化 形式化",negative,文化实践体验负向,place_or_alias,mixed,"[""文化实践体验""]",RUN-a31a13821d1641a1996c8c85ca1a2eb7,PLAN-b8e3d1cc70006201b7270b6d,49a31fc636b892d3400f722c768ad32d39498d20ef08dd1b884069eeb98c07c3,0,0,,zh,,b8e3d1cc70006201b7270b6d627d124f519c940b374bde1270dad4c3bb0fafff,,,,,"{""category"":""mixed"",""iteration_mode"":"""",""language"":""zh"",""place"":""北京路历史文化街区"",""platform"":"""",""polarity"":""negative"",""retrieval_entry"":"""",""subject"":"""",""targets"":[""文化实践体验""],""time_range"":"""",""tokens"":[""北京路历史文化街区"",""文化活动"",""表演化"",""形式化""]}",8f7c192a3b2e0e4bd2949bf77656a6eb3e5a3f73c885bf0a5ae421763b440358,39b1eb4ddbf1f42966269e2aaef0ccb1dd78035633c2daff4db5d4f0d38ec87f
北京路历史文化街区,Q020-b8e3d1cc70006201,北京路历史文化街区,历史氛围 地方感 场所感,北京路历史文化街区 历史氛围 地方感 场所感,"""北京路历史文化街区"" 历史氛围 地方感 场所感",neutral,场所氛围体验,place_or_alias,mixed,"[""场所氛围体验""]",RUN-a31a13821d1641a1996c8c85ca1a2eb7,PLAN-b8e3d1cc70006201b7270b6d,49a31fc636b892d3400f722c768ad32d39498d20ef08dd1b884069eeb98c07c3,0,0,,zh,,b8e3d1cc70006201b7270b6d627d124f519c940b374bde1270dad4c3bb0fafff,,,,,"{""category"":""mixed"",""iteration_mode"":"""",""language"":""zh"",""place"":""北京路历史文化街区"",""platform"":"""",""polarity"":""neutral"",""retrieval_entry"":"""",""subject"":"""",""targets"":[""场所氛围体验""],""time_range"":"""",""tokens"":[""北京路历史文化街区"",""历史氛围"",""地方感"",""场所感""]}",3bb359d86fc1ab6023306e221bf560e709d02829da1e778f945f17e2b165fc0a,1dd46733d3306121ea3e3e0df0287e55b6b89e32246e5247cbfc091fb7e433fe
北京路历史文化街区,Q021-b8e3d1cc70006201,北京路历史文化街区,烟火气 市井气息 夜间氛围,北京路历史文化街区 烟火气 市井气息 夜间氛围,"""北京路历史文化街区"" 烟火气 市井气息 夜间氛围",neutral,场所氛围体验,place_or_alias,mixed,"[""场所氛围体验""]",RUN-a31a13821d1641a1996c8c85ca1a2eb7,PLAN-b8e3d1cc70006201b7270b6d,49a31fc636b892d3400f722c768ad32d39498d20ef08dd1b884069eeb98c07c3,0,0,,zh,,b8e3d1cc70006201b7270b6d627d124f519c940b374bde1270dad4c3bb0fafff,,,,,"{""category"":""mixed"",""iteration_mode"":"""",""language"":""zh"",""place"":""北京路历史文化街区"",""platform"":"""",""polarity"":""neutral"",""retrieval_entry"":"""",""subject"":"""",""targets"":[""场所氛围体验""],""time_range"":"""",""tokens"":[""北京路历史文化街区"",""烟火气"",""市井气息"",""夜间氛围""]}",953ad53b4db53bd3313cc9ba4bdab5f96b8bb5348a3a5d2c97083cc3b6c05559,14683ae63b9875e4a5bd1ef0b98e764d05450017b7f0e398878d1169e16a212c
北京路历史文化街区,Q022-b8e3d1cc70006201,北京路历史文化街区,广告 噪声 破坏文化氛围,北京路历史文化街区 广告 噪声 破坏文化氛围,"""北京路历史文化街区"" 广告 噪声 破坏文化氛围",negative,场所氛围体验负向,place_or_alias,mixed,"[""场所氛围体验""]",RUN-a31a13821d1641a1996c8c85ca1a2eb7,PLAN-b8e3d1cc70006201b7270b6d,49a31fc636b892d3400f722c768ad32d39498d20ef08dd1b884069eeb98c07c3,0,0,,zh,,b8e3d1cc70006201b7270b6d627d124f519c940b374bde1270dad4c3bb0fafff,,,,,"{""category"":""mixed"",""iteration_mode"":"""",""language"":""zh"",""place"":""北京路历史文化街区"",""platform"":"""",""polarity"":""negative"",""retrieval_entry"":"""",""subject"":"""",""targets"":[""场所氛围体验""],""time_range"":"""",""tokens"":[""北京路历史文化街区"",""广告"",""噪声"",""破坏文化氛围""]}",d9de357a108051f096a216295f20d9f7732725f78612f79f9a72555604fd6357,e7652f4e4d27ce9d809f4bf461c5459865d9f5adc6ac0eff7882d418474e2aed
北京路历史文化街区,Q023-b8e3d1cc70006201,北京路历史文化街区,保护 修缮 修旧如旧,北京路历史文化街区 保护 修缮 修旧如旧,"""北京路历史文化街区"" 保护 修缮 修旧如旧",neutral,保护活化感知,place_or_alias,mixed,"[""保护活化感知""]",RUN-a31a13821d1641a1996c8c85ca1a2eb7,PLAN-b8e3d1cc70006201b7270b6d,49a31fc636b892d3400f722c768ad32d39498d20ef08dd1b884069eeb98c07c3,0,0,,zh,,b8e3d1cc70006201b7270b6d627d124f519c940b374bde1270dad4c3bb0fafff,,,,,"{""category"":""mixed"",""iteration_mode"":"""",""language"":""zh"",""place"":""北京路历史文化街区"",""platform"":"""",""polarity"":""neutral"",""retrieval_entry"":"""",""subject"":"""",""targets"":[""保护活化感知""],""time_range"":"""",""tokens"":[""北京路历史文化街区"",""保护"",""修缮"",""修旧如旧""]}",702638638753c1e03a4c74d441d0a3985478ec2a3eadf04493c672a3e7785bf1,74182a0aaa671e30403f9ca676c6420d4bf7a364e029956f518f314c6a857e6b
北京路历史文化街区,Q024-b8e3d1cc70006201,北京路历史文化街区,适应性利用 老建筑继续使用,北京路历史文化街区 适应性利用 老建筑继续使用,"""北京路历史文化街区"" 适应性利用 老建筑继续使用",neutral,保护活化感知,place_or_alias,mixed,"[""保护活化感知""]",RUN-a31a13821d1641a1996c8c85ca1a2eb7,PLAN-b8e3d1cc70006201b7270b6d,49a31fc636b892d3400f722c768ad32d39498d20ef08dd1b884069eeb98c07c3,0,0,,zh,,b8e3d1cc70006201b7270b6d627d124f519c940b374bde1270dad4c3bb0fafff,,,,,"{""category"":""mixed"",""iteration_mode"":"""",""language"":""zh"",""place"":""北京路历史文化街区"",""platform"":"""",""polarity"":""neutral"",""retrieval_entry"":"""",""subject"":"""",""targets"":[""保护活化感知""],""time_range"":"""",""tokens"":[""北京路历史文化街区"",""适应性利用"",""老建筑继续使用""]}",60725d63195c30de76afa39c5d1d5213735e38a3caff2d85f314acac2a61542e,e774ac738f70be5466ce5ab440c18cc6a058b9735313c67ea1440499f3a47744
北京路历史文化街区,Q025-b8e3d1cc70006201,北京路历史文化街区,过度翻新 仿古化 空心化,北京路历史文化街区 过度翻新 仿古化 空心化,"""北京路历史文化街区"" 过度翻新 仿古化 空心化",negative,保护活化感知负向,place_or_alias,mixed,"[""保护活化感知""]",RUN-a31a13821d1641a1996c8c85ca1a2eb7,PLAN-b8e3d1cc70006201b7270b6d,49a31fc636b892d3400f722c768ad32d39498d20ef08dd1b884069eeb98c07c3,0,0,,zh,,b8e3d1cc70006201b7270b6d627d124f519c940b374bde1270dad4c3bb0fafff,,,,,"{""category"":""mixed"",""iteration_mode"":"""",""language"":""zh"",""place"":""北京路历史文化街区"",""platform"":"""",""polarity"":""negative"",""retrieval_entry"":"""",""subject"":"""",""targets"":[""保护活化感知""],""time_range"":"""",""tokens"":[""北京路历史文化街区"",""过度翻新"",""仿古化"",""空心化""]}",23d065c59fc40982d18a6aa5e35da6625b1d7b493c456e81990ac81bb527a317,98be524e4d6c4cbddcbde8888618a75e6ec44c44edcbe9de9568ffd8e03516ef
北京路历史文化街区,Q026-b8e3d1cc70006201,北京路历史文化街区,拥挤 承载 旅游过载,北京路历史文化街区 拥挤 承载 旅游过载,"""北京路历史文化街区"" 拥挤 承载 旅游过载",negative,承载治理体验,place_or_alias,mixed,"[""承载治理体验""]",RUN-a31a13821d1641a1996c8c85ca1a2eb7,PLAN-b8e3d1cc70006201b7270b6d,49a31fc636b892d3400f722c768ad32d39498d20ef08dd1b884069eeb98c07c3,0,0,,zh,,b8e3d1cc70006201b7270b6d627d124f519c940b374bde1270dad4c3bb0fafff,,,,,"{""category"":""mixed"",""iteration_mode"":"""",""language"":""zh"",""place"":""北京路历史文化街区"",""platform"":"""",""polarity"":""negative"",""retrieval_entry"":"""",""subject"":"""",""targets"":[""承载治理体验""],""time_range"":"""",""tokens"":[""北京路历史文化街区"",""拥挤"",""承载"",""旅游过载""]}",d9cd777af95cb4aea10c1a777ca69ae67e35a79b0a795464c9c57fab6656be29,25d0ab5e594390c8d28cf23d6f18ae1dc4387500abe0e4c8488fc96bf02f34e8
